timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,src_mac,dst_mac,tcp_flags,iat_ms
2026-09-23 12:00:00.100,192.168.1.10,8.8.8.8,54321,53,UDP,68,aa:bb:cc:dd:ee:01,aa:bb:cc:dd:ee:ff,,1.2
2026-09-23 12:00:00.250,8.8.8.8,192.168.1.10,53,54321,UDP,124,aa:bb:cc:dd:ee:ff,aa:bb:cc:dd:ee:01,,2.5
2026-09-23 12:00:00.500,192.168.1.11,1.1.1.1,51234,53,UDP,72,aa:bb:cc:dd:ee:02,aa:bb:cc:dd:ee:ff,,3.0
2026-09-23 12:00:00.620,1.1.1.1,192.168.1.11,53,51234,UDP,140,aa:bb:cc:dd:ee:ff,aa:bb:cc:dd:ee:02,,1.1
2026-09-23 12:00:01.100,192.168.1.12,8.8.4.4,59876,53,UDP,65,aa:bb:cc:dd:ee:03,aa:bb:cc:dd:ee:ff,,5.4
2026-09-23 12:00:01.300,8.8.4.4,192.168.1.12,53,59876,UDP,130,aa:bb:cc:dd:ee:ff,aa:bb:cc:dd:ee:03,,2.0
2026-09-23 12:00:02.000,192.168.1.10,93.184.216.34,49152,443,TCP,1500,aa:bb:cc:dd:ee:01,aa:bb:cc:dd:ee:ff,0x0018,6.1
2026-09-23 12:00:02.100,192.168.1.10,93.184.216.34,49152,443,TCP,850,aa:bb:cc:dd:ee:01,aa:bb:cc:dd:ee:ff,0x0018,1.0
2026-09-23 12:00:02.500,192.168.1.15,8.8.8.8,55555,53,UDP,70,aa:bb:cc:dd:ee:04,aa:bb:cc:dd:ee:ff,,4.0
2026-09-23 12:00:03.000,192.168.1.20,8.8.8.8,,,"ICMP",84,aa:bb:cc:dd:ee:05,aa:bb:cc:dd:ee:ff,,10.0
2026-09-23 12:00:03.400,192.168.1.16,1.1.1.1,54444,53,UDP,80,aa:bb:cc:dd:ee:06,aa:bb:cc:dd:ee:ff,,4.0
2026-09-23 12:00:04.000,192.168.1.10,142.250.190.46,49154,80,TCP,500,aa:bb:cc:dd:ee:01,aa:bb:cc:dd:ee:ff,0x0010,5.2
2026-09-23 12:00:04.800,192.168.1.17,8.8.8.8,53333,53,UDP,75,aa:bb:cc:dd:ee:07,aa:bb:cc:dd:ee:ff,,8.0
2026-09-23 12:00:05.100,192.168.1.18,8.8.8.8,52222,53,UDP,68,aa:bb:cc:dd:ee:08,aa:bb:cc:dd:ee:ff,,3.0
2026-09-23 12:00:06.000,192.168.1.19,1.1.1.1,51111,53,UDP,90,aa:bb:cc:dd:ee:09,aa:bb:cc:dd:ee:ff,,9.0
2026-09-23 12:00:07.000,192.168.1.10,8.8.8.8,50001,53,UDP,65,aa:bb:cc:dd:ee:01,aa:bb:cc:dd:ee:ff,,10.0
2026-09-23 12:00:08.000,192.168.1.10,8.8.8.8,50002,53,UDP,65,aa:bb:cc:dd:ee:01,aa:bb:cc:dd:ee:ff,,10.0
2026-09-23 12:00:09.000,192.168.1.10,8.8.8.8,50003,53,UDP,65,aa:bb:cc:dd:ee:01,aa:bb:cc:dd:ee:ff,,10.0
2026-09-23 12:00:10.100,192.168.1.10,8.8.8.8,50004,53,UDP,70,aa:bb:cc:dd:ee:01,aa:bb:cc:dd:ee:ff,,1.1
2026-09-23 12:00:11.200,192.168.1.10,8.8.8.8,50005,53,UDP,70,aa:bb:cc:dd:ee:01,aa:bb:cc:dd:ee:ff,,1.2
2026-09-23 12:00:12.000,192.168.1.10,93.184.216.34,49160,443,TCP,1200,aa:bb:cc:dd:ee:01,aa:bb:cc:dd:ee:ff,0x0018,8.0
2026-09-23 12:00:13.500,192.168.1.11,8.8.4.4,50006,53,UDP,85,aa:bb:cc:dd:ee:02,aa:bb:cc:dd:ee:ff,,15.0
2026-09-23 12:00:14.000,192.168.1.25,8.8.8.8,,,"ICMP",84,aa:bb:cc:dd:ee:10,aa:bb:cc:dd:ee:ff,,5.0
2026-09-23 12:00:15.000,192.168.1.12,1.1.1.1,50007,53,UDP,90,aa:bb:cc:dd:ee:03,aa:bb:cc:dd:ee:ff,,10.0
2026-09-23 12:00:16.000,192.168.1.13,8.8.8.8,50008,53,UDP,65,aa:bb:cc:dd:ee:04,aa:bb:cc:dd:ee:ff,,10.0
2026-09-23 12:00:17.000,192.168.1.14,8.8.8.8,50009,53,UDP,65,aa:bb:cc:dd:ee:05,aa:bb:cc:dd:ee:ff,,10.0
2026-09-23 12:00:18.000,192.168.1.15,8.8.8.8,50010,53,UDP,65,aa:bb:cc:dd:ee:06,aa:bb:cc:dd:ee:ff,,10.0
2026-09-23 12:00:19.000,192.168.1.16,8.8.8.8,50011,53,UDP,65,aa:bb:cc:dd:ee:07,aa:bb:cc:dd:ee:ff,,10.0

